endpoint,lookup,fields
accounts,id,"name,customId,type,subType,address,region,notes,timeZone,status,positions,allowedAreas,restrictedAreas,ipWhitelist,dispatchSla,closedDate,tags,emergencyContacts,id,uri,resourceType,avatar,createdBy,createdOn,updatedBy,updatedOn"
addresses,id,"addressLine1,addressLine2,city,country,state,postalCode,latitude,longitude,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
app-licenses,id,"name,number,account,position,user,lastLatitude,lastLongitude,startedOn,status,applicationId,applicationVersion,deviceModel,deviceOS,deviceIMEI,installationCode,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
asset-categories,id,"name,customId,description,parentCategory,account,icon,color,types,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
asset-custom-fields,id,"name,type,fieldKey,account,config,id,uri,resourceType"
asset-fieldset-fields,id,"field,fieldSet,required,sortOrder,id,uri,resourceType"
asset-fieldsets,id,"name,account,id,uri,resourceType"
asset-manufacturers,id,"name,description,addressLine1,addressLine2,city,country,state,postalCode,contactName,phoneNumber,faxNumber,email,website,account,id,createdBy,createdOn,updatedBy,updatedOn,uri,resourceType"
asset-persons,id,"name,customId,firstName,lastName,type,jobTitle,primaryPhone,secondaryPhone,email,department,account,relatedTo,notes,checkedOutAssets,isImported,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
asset-reservations,id,"person,checkoutByDifferentPerson,asset,startDateTime,endDateTime,comments,status,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
assets,id,"type,barcode,name,status,checkoutStatus,checkinNotRequired,checkoutReturnDateTime,checkoutTransactionItem,description,serialNumber,nfcTag,beginDateTime,endDateTime,account,accountLocation,bundle,archiveReason,archiveComments,assets,hasPendingReservations,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn,timeZone,archivedBy,archivedOn,avatar"
asset-suppliers,id,"name,description,addressLine1,addressLine2,city,country,state,postalCode,contactName,phoneNumber,faxNumber,email,website,account,id,createdBy,createdOn,updatedBy,updatedOn,uri,resourceType"
asset-transaction-items,id,"transaction,asset,bundle,person,type,expectedReturnDateTime,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
asset-transactions,id,"person,account,comments,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
asset-types,id,"name,customId,account,isBundle,isCheckable,category,manufacturer,supplier,type,fieldset,icon,color,assets,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn,avatar"
audit-logs,id,"entity,action,field,actionTime,employee,userName,originalValue,newValue,details,caller,clientIp,serverIp,id,uri,resourceType"
back-office-settings,id,"region,scheduleCycleFirstDate,scheduleTemplateFirstDayOfWeek,schedulePreferredPublishFrequency,scheduleAllowForClosedBusinessDays,scheduleRequestEmployeeAcknowledge,scheduleMinimumRestPeriodBetweenShift,scheduleHolidayGroup,payrollHourlyRate,payrollSchedule,payrollOvertimeRule,payrollOvertimeDayOfWeek,autoApprovalShift,autoApprovalClockInBefore,autoApprovalClockInAfter,autoApprovalClockOutBefore,autoApprovalClockOutAfter,payrollSorting,payrollSeparatePremium,billingTaxEngine,billingTaxClass,billingBaseCurrency,billingSeparatePremium,id,uri,resourceType"
billable-items,id,"type,serviceModel,quantity,rate,price,contract,taxClass,contractOccurrenceDate,invoice,invoiceLine,serviceLocation,clientAccount,postedOn,postBatchCustom,memo,region,billItem,statAmount,statType,priceTierModelObject,serviceDate,servicedOn,groupKey,billingNotes,subType,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
billing-adhoc-items,id,"status,price,quantity,serviceDate,description,account,contract,billItem,taxClass,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
bill-items,id,"name,customId,isGlobal,region,id,uri,resourceType"
break-rule-compliance-logs,id,"shift,account,breakRule,totalSecondsExpected,totalMinutesExpected,totalSecondsActual,totalMinutesActual,totalSecondsStatus,totalMinutesStatus,totalBreaksExpected,totalBreaksActual,totalBreaksStatus,compliantCount,lateCount,earlyCount,missedCount,unscheduledCount,tooLongCount,tooShortCount,mealSecondsExpected,mealMinutesExpected,mealSecondsActual,mealMinutesActual,mealLateCount,mealEarlyCount,mealMissedCount,mealUnscheduledCount,mealTooLongCount,mealTooShortCount,restSecondsExpected,restMinutesExpected,restSecondsActual,restMinutesActual,restLateCount,restEarlyCount,restMissedCount,restUnscheduledCount,restTooLongCount,restTooShortCount,restInterruptedCount,mealInterruptedCount,rounded,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
break-rule-conditions,id,"breakRule,type,duration,offsetType,offsetStart,offsetEnd,hasReminder,reminderMinutes,status,requiresAcknowledgement,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
break-rule-exceptions,id,"type,reasonType,actionDateTime,comment,summary,employee,shift,workSession,breakSession,account,breakRule,condition,device,deviceAccount,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn,timeZone"
break-rule-relations,id,"breakRule,relation,relationId,id,uri,resourceType"
break-rules,id,"name,status,region,effectiveDate,conditions,positions,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
