domain,module,resource,name,type,onDemand,label,description,enums,relation,nullBehaviorMessage,deprecated
Back Office Suite,Scheduling,shift-proposal-queue-items,viaSms,Label,,Sent via SMS,If the shift proposal was sent via SMS,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,viaCall,Label,,Shift proposal conveyed by phone,Operator has logged that they called the guard to relay the shift proposal,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,shift,Relation,,Shift,,,shifts,,
Back Office Suite,Scheduling,shift-proposal-queue-items,employee,Relation,,Employee,,,employees,,
Back Office Suite,Scheduling,shift-proposal-queue-items,sentOn,TimeStampNumber,,Sent Time,Time the shift proposal was sent,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,answeredOn,TimeStampNumber,,Answered Time,Time the shift proposal was answered,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,expiresOn,TimeStampNumber,,Expiry Time,Time the shift proposal expires,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,answer,Label,,Answer,Shift proposal answer,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,status,Enum,,Status,If the shift proposed was taken,"AVAILABLE, ACCEPTED, REFUSED, ACCEPTED_BUT_ALREADY_TAKEN, EXPIRED_BECAUSE_OF_NEW",,,
Back Office Suite,Scheduling,shift-proposal-queue-items,email,Label,,Email,Shift proposal email,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,smsNumber,Label,,SMS Number,Shift proposal SMS number,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,callNumber,Label,,Call Number,Shift proposal Call number,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,premiumType,Enum,,Premium Type,,"FIXED, TOP, NONE, ",,,
Back Office Suite,Scheduling,shift-proposal-queue-items,premiumFixedAmount,Label,,Premium Fixed Amount,,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,premiumTopAmount,Label,,Premium Top Amount,,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,effectiveRate,Label,,Effective Rate,,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,distributionSequenceIndex,Label,,Distribution Sequence Index,,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,distributionType,Enum,,Distribution Type,,"BATCH, SEQUENCE, ",,,
Back Office Suite,Scheduling,shift-proposal-queue-items,id,Integer,,System ID,,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,uri,Uri,true,Object URI,,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,resourceType,Label,true,Resource Type,,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,createdBy,Relation,true,Created By,,,employees,,
Back Office Suite,Scheduling,shift-proposal-queue-items,createdOn,TimeStampNumber,true,Created Date Time,,,,,
Back Office Suite,Scheduling,shift-proposal-queue-items,updatedBy,Relation,true,Updated By,,,employees,,
Back Office Suite,Scheduling,shift-proposal-queue-items,updatedOn,TimeStampNumber,true,Updated Date Time,,,,,
Back Office Suite,Scheduling,overtime-rules,name,Label,,Name,,,,,
